SubjNo,List,prime,prime_semantics,correct response,given response,match?,rt,perceptual rating,perceptual rating.reactiontime,date,frameRate,experiment_name,session,participant
1,1,Ian pushed the button,Sensible,up,up,TRUE,0.80746603,3,0.728747129,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,The perfume sniffed Tim,Non-sensible,down,down,TRUE,0.940341949,1,0.905248165,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,The mirror kissed Max,Non-sensible,up,up,TRUE,0.975131989,2,0.988087893,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,The thread measured Amy,Non-sensible,up,up,TRUE,0.893327951,3,1.305395126,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,I planted the plant,Sklar_control_B,down,down,TRUE,0.904466152,3,0.964082956,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,Phil solved the problem,Sensible,up,up,TRUE,1.128512144,3,4.080799103,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,The hill climbed Luke,Non-sensible,up,up,TRUE,1.081493139,3,1.14043498,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,I fixed up the shower,Sklar_control_A,down,down,TRUE,1.363693953,3,1.105322838,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,The room entered Ryan,Non-sensible,down,down,TRUE,1.552004814,3,0.940821886,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,Liam sliced the onion,Sensible,up,up,TRUE,1.128461838,2,0.976071835,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,I turned off the computer,Sklar_control_B,down,down,TRUE,1.010913134,2,0.670296907,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,I cut the bread,Sklar_control_B,up,up,TRUE,0.948344946,3,0.892998219,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,The message typed Eve,Non-sensible,up,up,TRUE,1.771720886,2,0.764068842,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,I cut the sand,Sklar_violation,up,up,TRUE,0.987723112,3,0.963967085,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,The turnip mashed Ella,Non-sensible,up,up,TRUE,0.963869095,2,1.575808048,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,I found the key,Sklar_control_A,up,up,TRUE,2.547719955,3,1.069878101,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,Jay squeezed the lemon,Sensible,down,down,TRUE,0.870049,3,1.928622961,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,I imagined the well,Sklar_filler,up,up,TRUE,1.599009991,3,1.728018045,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,I woke up the child,Sklar_control_B,up,up,TRUE,1.112800121,2,0.729207993,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,Luke watered the plants,Sensible,down,down,TRUE,1.159862041,2,1.810874939,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,I cooked the stairs,Sklar_violation,up,up,TRUE,0.940546989,2,7.550457001,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,The pen described John,Non-sensible,up,up,TRUE,1.057915926,3,2.17544198,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,The room tidied Sam,Non-sensible,up,up,TRUE,0.971713066,3,2.304342031,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,Ben climbed the stairs,Sensible,up,up,TRUE,1.159971952,3,0.799186945,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,I threw the peas,Sklar_control_A,down,down,TRUE,1.019073963,3,0.693607807,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,Joe iced the donut,Sensible,up,up,TRUE,1.163454056,3,2.634346962,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,I folded the vest,Sklar_control_B,down,down,TRUE,1.089514017,3,0.799690962,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,Sam tidied the room,Sensible,down,down,TRUE,0.963841915,3,0.657737017,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,The lemon squeezed Jay,Non-sensible,up,up,TRUE,1.104985952,2,1.551882982,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,I locked the ground,Sklar_violation,up,up,TRUE,1.089287996,3,1.693202972,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,I sold the diamond,Sklar_control_A,up,up,TRUE,1.680870056,3,0.822432995,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,I wore the shirt,Sklar_control_A,down,down,TRUE,1.3637321,3,1.081830025,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,Liz sliced the tomato,Sensible,up,up,TRUE,1.528329849,2,2.493440151,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,The bucket lent Max,Non-sensible,down,down,TRUE,1.528522015,1,0.740839005,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,Max searched the internet,Sensible,down,down,TRUE,1.316754103,0,0.529162884,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,Liam mixed the nuts,Sensible,down,down,TRUE,1.324681044,3,2.810203075,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,I found the exercise,Sklar_filler,up,up,TRUE,1.09258008,3,4.151224136,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,I smelled the hair,Sklar_filler,down,down,TRUE,0.901195049,2,5.457092047,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,Zoe paid the debt,Sensible,down,down,TRUE,0.998373032,2,1.058647871,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,Leah sucked the lolly,Sensible,down,down,TRUE,1.301124096,1,0.987169981,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,Phil passed the towels,Sensible,up,up,TRUE,1.246369839,2,0.728981972,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,Tom dialed the number,Sensible,up,up,TRUE,1.163201094,3,2.634408951,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,The pill swallowed Luke,Non-sensible,up,up,TRUE,0.995496988,3,1.352210045,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,The ice crushed Josh,Non-sensible,down,down,TRUE,1.136700869,3,1.822334051,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,I burnt the clouds,Sklar_violation,up,up,TRUE,0.951771975,2,2.834493876,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,Ryan painted the picture,Sensible,up,up,TRUE,0.948129892,2,1.387718201,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,Matt kicked the bike,Sensible,up,up,TRUE,1.011219025,3,0.728649139,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,Mike ate the steak,Sensible,down,down,TRUE,0.893597841,3,1.540360928,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,Jack posted the gift,Sensible,up,up,TRUE,1.269547939,3,0.917289972,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,The shirt ironed Josh,Non-sensible,up,up,TRUE,1.481505871,3,0.811465025,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,Sam sucked the candy,Sensible,down,down,TRUE,1.011009932,1,1.011518002,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,The movie watched Ella,Non-sensible,up,up,TRUE,1.066094875,2,1.117093086,2015_Oct_01_1157,85.05800925,CFS popping time,1,
1,1,I met the child,Sklar_filler,up,up,TRUE,2.093128204,2,1.046745062,2015_Oct_01_1157,85.05800925,CFS popping time,1,
