SubjNo,List,prime,prime_semantics,correct response,given response,match?,rt,perceptual rating,date,frameRate,experiment_name,session,participant,
35,1,The kettle carried John,Non-sensible,up,up,1,1.13619709015,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,I moved the chair,Sklar_control_A,up,up,1,1.13969898224,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,Alex dusted the house,Sensible,up,up,1,0.904438018799,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,I imagined the well,Sklar_filler,down,down,1,1.41084909439,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,I locked the cabinet,Sklar_control_B,up,up,1,1.15220785141,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,The room tidied Sam,Non-sensible,down,down,1,1.31680703163,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,The lolly sucked Leah,Non-sensible,up,up,1,1.13623785973,1,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,I cut the sand,Sklar_violation,up,up,1,1.65658903122,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,Mary visited the museum,Sensible,up,up,1,0.854314804077,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,I sewed the sock,Sklar_control_B,down,down,1,1.64607596397,1,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,The milk sniffed Phil,Non-sensible,up,up,1,1.12856292725,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,The thread measured Amy,Non-sensible,up,up,1,1.18678402901,1,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,I smelled the melody,Sklar_violation,down,down,1,1.22250294685,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,I fixed up the shed,Sklar_control_A,down,down,1,1.74791502953,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,Matt offered the money,Sensible,down,down,1,1.06587314606,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,Joe solved the puzzle,Sensible,up,up,1,2.23410391808,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,I wore the gloves,Sklar_control_B,up,up,1,2.09300088882,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,I shampooed the key,Sklar_violation,down,down,1,1.45785403252,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,Carl sold the sofa,Sensible,up,up,1,1.46878814697,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,Liam mixed the nuts,Sensible,down,down,1,1.10522413254,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,Bill counted the sheets,Sensible,down,down,1,0.971669912338,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,Lucy counted the shoes,Sensible,up,up,1,1.10516881943,1,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,I laundered the refrigerator,Sklar_violation,down,down,1,0.870079040527,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,The hedge jumped Sara,Non-sensible,down,down,1,1.95963788033,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,The eggs whisked Dan,Non-sensible,down,down,1,1.15986394882,1,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,The spoon licked Will,Non-sensible,up,up,1,0.987586021423,1,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,The rules taught Josh,Non-sensible,up,up,1,1.01855993271,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,I scrubbed the house,Sklar_control_B,down,up,0,0.653094053268,0,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,The lemon squeezed Jay,Non-sensible,down,down,1,1.19927692413,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,Jane licked the plate,Sensible,up,up,1,0.854016065598,1,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,Leah sucked the lolly,Sensible,up,up,1,0.763346195221,1,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,Andy pulled the rope,Sensible,up,up,1,1.24617910385,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,Jeff watered the garden,Sensible,up,up,1,0.877381801605,1,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,Anna polished the trophy,Sensible,down,up,0,1.15209007263,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,Liz sliced the tomato,Sensible,up,up,1,0.998625040054,1,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,Dan carried the folder,Sensible,down,down,1,1.12863492966,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,The movie watched Ella,Non-sensible,up,up,1,0.830541133881,1,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,The mirror kissed Max,Non-sensible,down,down,1,0.987353086472,1,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,Ryan stroked the blanket,Sensible,up,up,1,0.901114940643,1,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,Ella mashed the turnip,Sensible,up,up,1,0.830446958542,1,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,Josh taught the rules,Sensible,down,down,1,1.15234208107,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,Ryan knitted the socks,Sensible,up,up,1,1.08918094635,1,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,I drank the chair,Sklar_violation,down,down,1,1.97530388832,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,The rice stored Fred,Non-sensible,up,up,1,1.30401921272,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,Zoe paid the debt,Sensible,up,up,1,1.15995812416,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,I smelled the hair,Sklar_filler,up,up,1,0.940749883652,1,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,The report filed Ian,Non-sensible,down,down,1,1.06895303726,0,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,Phil chopped the herbs,Sensible,down,down,1,1.81074094772,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,I interviewed the woman,Sklar_control_B,down,down,1,1.13613605499,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,The house built Kate,Non-sensible,up,up,1,0.927831172943,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,I fried the squash,Sklar_control_B,up,up,1,1.46558904648,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,The shed built Rose,Non-sensible,down,down,1,1.83428311348,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,The bill paid Mike,Non-sensible,down,down,1,1.3010468483,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,The poster read Luke,Non-sensible,down,down,1,1.74801111221,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,John carried the kettle,Sensible,down,down,1,1.57572698593,1,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,Jake dusted the shelf,Sensible,down,down,1,1.76398611069,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,I drank the chocolate milk,Sklar_control_B,up,up,1,1.15979504585,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,I built the rice,Sklar_violation,up,down,0,2.85347700119,0,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,The sugar weighed Liz,Non-sensible,up,down,0,1.19924902916,1,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,I warmed up the food,Sklar_filler,down,down,1,1.74785804749,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,The room entered Ryan,Non-sensible,up,up,1,0.80695605278,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
35,1,I drew the map,Sklar_filler,up,up,1,1.18666601181,2,2015_Nov_12_1307,85.0818198968,CFS popping time,001,,
