SubjNo,List,prime,prime_semantics,correct response,given response,match?,rt,perceptual rating,date,frameRate,experiment_name,session,participant,
25,1,Liam sliced the onion,Sensible,down,down,1,0.882779121399,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Mark washed the dishes,Sensible,down,down,1,0.932413101196,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Tim sniffed the perfume,Sensible,up,up,1,1.36592006683,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Ian pushed the button,Sensible,up,up,1,0.893918037415,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Adam chewed the fat,Sensible,down,down,1,1.00688099861,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,John carried the kettle,Sensible,up,up,1,2.4396250248,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,I saw the clouds,Sklar_control_A,down,down,1,1.4266769886,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,I drew the map,Sklar_filler,down,up,0,0.856616973877,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,I smelled the pie,Sklar_control_B,down,down,1,0.860018968582,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Erin described the church,Sensible,down,down,1,0.718788862228,1,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Tom knitted the scarf,Sensible,down,down,1,1.14012503624,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,I dug the well,Sklar_control_B,down,down,1,1.12321996689,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,I folded the vest,Sklar_control_B,down,down,1,1.0233130455,0,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The pen described John,Non-sensible,up,up,1,1.29900598526,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Kate served the dish,Sensible,down,down,1,0.840289831161,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Tim pulled the handle,Sensible,up,down,0,0.651870012283,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The laptop fixed Jen,Non-sensible,up,up,1,1.74898004532,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Tim took the ticket,Sensible,up,up,1,0.926739931107,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Matt kicked the bike,Sensible,down,down,1,1.00688099861,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,I met the woman,Sklar_filler,down,down,1,1.14023303986,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The sugar weighed Liz,Non-sensible,up,up,1,0.777054071426,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,I locked the ground,Sklar_violation,up,up,1,1.22660183907,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The shirt ironed Josh,Non-sensible,up,up,1,1.21010184288,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The tree hugged Amy,Non-sensible,down,down,1,1.48998188972,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Mary visited the museum,Sensible,down,down,1,0.957061052322,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Rob measured the curtains,Sensible,down,down,1,1.75997591019,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The report wrote Alex,Non-sensible,down,down,1,1.0989279747,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,I photographed the river,Sklar_control_A,down,down,1,1.24915599823,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The donut iced Joe,Non-sensible,down,down,1,0.77377820015,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Ryan painted the picture,Sensible,down,down,1,0.956825971603,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The rice stored Fred,Non-sensible,up,up,1,1.25669193268,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The herbs chopped Phil,Non-sensible,down,down,1,1.32321691513,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,I tore the map,Sklar_control_B,down,down,1,1.38229990005,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,I bought the clothes,Sklar_filler,up,down,0,1.75645208359,0,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,I wiped the steam ,Sklar_control_A,down,down,1,1.25688385963,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Josh scrubbed the pot,Sensible,down,down,1,0.960295915604,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The cream whisked Tom,Non-sensible,down,down,1,1.13241291046,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Carl sold the sofa,Sensible,up,up,1,1.15663099289,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,I wore the gloves,Sklar_control_B,down,down,1,1.01026892662,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The eggs whisked Dan,Non-sensible,up,up,1,1.23985099792,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Carl brushed the teeth,Sensible,down,down,1,1.31001520157,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,I built the building,Sklar_control_B,down,down,1,0.782579898834,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,I turned off the door,Sklar_violation,up,up,1,0.956784963608,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Lily dented the lorry,Sensible,down,down,1,1.11547398567,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,I drew the rain,Sklar_control_A,down,down,1,1.02362513542,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The shoes counted Lucy,Non-sensible,down,down,1,0.732506990433,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The bowl scrubbed Liz,Non-sensible,up,up,1,1.27335906029,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,I fixed up the shed,Sklar_control_A,up,up,1,0.849356889725,1,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Luke watered the plants,Sensible,up,down,0,1.30676484108,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The dress wore Kate,Non-sensible,down,down,1,1.06006503105,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Adam watched the opera,Sensible,up,up,1,1.4100151062,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,I laundered the refrigerator,Sklar_violation,down,down,1,0.686574935913,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The carrots grated Tom,Non-sensible,down,down,1,1.40673518181,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Tom dialed the number,Sensible,down,down,1,1.07643699646,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Lily got the kettle,Sensible,up,up,1,0.832406997681,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The kettle carried John,Non-sensible,down,down,1,0.910228967667,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,I spilled the moon,Sklar_violation,up,up,1,2.5927670002,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Erin punched the monitor,Sensible,down,down,1,1.0824368,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The story wrote Ewan,Non-sensible,down,down,1,1.53245520592,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The party cancelled Phil,Non-sensible,up,up,1,1.15664696693,1,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,I painted the building,Sklar_filler,up,down,0,1.65998983383,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The towels passed Phil,Non-sensible,down,down,1,0.956634044647,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The garden watered Jeff,Non-sensible,up,up,1,0.993427991867,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The lesson taught Eve,Non-sensible,down,down,1,1.41005802155,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Tim ate the ham,Sensible,down,down,1,1.20654606819,1,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The toffee chewed Ben,Non-sensible,up,up,1,2.00977802277,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,I found the exercise,Sklar_filler,up,up,1,2.06544804573,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The pot scrubbed Josh,Non-sensible,up,up,1,1.14344096184,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Will licked the spoon,Sensible,down,down,1,1.57331109047,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The garage tidied Erin,Non-sensible,up,up,1,3.53160309792,1,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Ella mashed the turnip,Sensible,up,up,1,0.932316064835,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,I interviewed the vinegar,Sklar_violation,down,down,1,1.3656411171,1,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The ham ate Tim,Non-sensible,down,down,1,1.34040617943,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Ian filed the report,Sensible,down,down,1,0.940234184265,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,I washed the dance,Sklar_violation,up,up,1,1.07355904579,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Lucy counted the shoes,Sensible,up,up,1,1.00709199905,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The onion sliced Liam,Non-sensible,up,up,1,1.79897499084,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Mary iced the cake,Sensible,down,down,1,1.6100358963,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The papers filed Lara,Non-sensible,down,down,1,1.04012107849,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The desk wiped Lucy,Non-sensible,up,up,1,0.999264955521,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,I broke the hat,Sklar_violation,up,up,1,1.19023013115,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The report filed Ian,Non-sensible,up,up,1,1.03255605698,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Beth washed the pan,Sensible,up,up,1,1.20678114891,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The lorry dented Lily,Non-sensible,up,up,1,1.21572208405,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,I moved the hat,Sklar_control_A,up,up,1,1.80647206306,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The wallet carried Leo,Non-sensible,up,up,1,0.940218925476,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,I planted the hammer,Sklar_violation,up,up,1,0.85700917244,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The bike kicked Matt,Non-sensible,up,up,1,1.0068500042,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The fence jumped Jon,Non-sensible,down,down,1,0.965718984604,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,I lit the rain,Sklar_violation,up,up,1,1.01015901566,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Luke fixed the radio,Sensible,down,down,1,1.07342219353,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,I cooked the rice,Sklar_control_A,up,up,1,0.893487930298,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,I cut the string,Sklar_control_B,down,down,1,1.22712993622,1,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,I cut the wine,Sklar_violation,up,up,1,2.40953993797,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Lucy cut the ribbon,Sensible,up,up,1,0.877104997635,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The ball squeezed Josh,Non-sensible,down,down,1,0.88249707222,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,I shaved the head,Sklar_control_B,up,up,1,0.79922413826,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Joe solved the puzzle,Sensible,down,down,1,0.777062177658,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Tom grated the carrots,Sensible,up,up,1,1.2158741951,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,I looked for the paint,Sklar_control_A,down,down,1,1.4066901207,1,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The folder carried Dan,Non-sensible,down,down,1,0.956733942032,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,I heard the sound,Sklar_filler,down,down,1,0.749336004257,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Anna polished the trophy,Sensible,up,up,1,1.00661897659,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Luke swallowed the pill,Sensible,up,up,1,0.923567056656,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,I changed the computer,Sklar_filler,down,down,1,0.873640060425,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Jen searched the room,Sensible,up,up,1,1.62314414978,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Max lent the bucket,Sensible,down,down,1,0.9158680439,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The rope pulled Andy,Non-sensible,down,down,1,0.873518943787,1,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Lara filed the papers,Sensible,down,down,1,0.832449913025,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The problem solved Phil,Non-sensible,down,down,1,0.960178136826,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,I heated the water,Sklar_control_A,down,down,1,1.62314391136,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,I burnt the clouds,Sklar_violation,down,down,1,1.73973584175,3,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Alex wrote the report,Sensible,up,up,1,1.8098950386,1,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The kettle got Lily,Non-sensible,up,up,1,1.02673316002,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The dish served Kate,Non-sensible,up,up,1,3.23187303543,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,I sewed the smoke,Sklar_violation,up,up,1,1.14912295341,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The sofa sold Carl,Non-sensible,up,up,1,1.20688390732,2,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,The turnip mashed Ella,Non-sensible,down,up,0,2.01560306549,0,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
25,1,Jack cleaned the bath,Sensible,up,up,1,1.1934928894,1,2015_Oct_27_1106,60.0204060314,CFS popping time,001,,
