SubjNo,List,prime,prime_semantics,correct response,given response,match?,rt,perceptual rating,date,frameRate,experiment_name,session,participant,
32,1,I locked the cabinet,Sklar_control_B,up,None,0,None,0,2015_Nov_11_1105,85.0911407351,CFS popping time,001,,
32,1,Max searched the internet,Sensible,down,None,0,None,0,2015_Nov_11_1105,85.0911407351,CFS popping time,001,,
32,1,I wore the vest,Sklar_filler,up,up,1,3.45709013939,1,2015_Nov_11_1105,85.0911407351,CFS popping time,001,,
32,1,I laundered the scarf,Sklar_control_B,up,None,0,None,0,2015_Nov_11_1105,85.0911407351,CFS popping time,001,,
32,1,Tom knitted the scarf,Sensible,up,up,1,2.44578099251,3,2015_Nov_11_1105,85.0911407351,CFS popping time,001,,
32,1,I turned off the door,Sklar_violation,up,up,1,1.76378202438,3,2015_Nov_11_1105,85.0911407351,CFS popping time,001,,
32,1,The handle pulled Tim,Non-sensible,down,None,0,None,0,2015_Nov_11_1105,85.0911407351,CFS popping time,001,,
32,1,I solved the peas,Sklar_violation,down,down,1,1.83425402641,2,2015_Nov_11_1105,85.0911407351,CFS popping time,001,,
32,1,The sugar weighed Liz,Non-sensible,down,down,1,1.41101789474,3,2015_Nov_11_1105,85.0911407351,CFS popping time,001,,
32,1,I photographed the river,Sklar_control_A,down,down,1,1.11264801025,3,2015_Nov_11_1105,85.0911407351,CFS popping time,001,,
32,1,The thread measured Amy,Non-sensible,up,up,1,5.69972300529,1,2015_Nov_11_1105,85.0911407351,CFS popping time,001,,
32,1,I smelled the melody,Sklar_violation,up,up,1,5.70274305344,1,2015_Nov_11_1105,85.0911407351,CFS popping time,001,,
32,1,I laundered the refrigerator,Sklar_violation,up,None,0,None,0,2015_Nov_11_1105,85.0911407351,CFS popping time,001,,
32,1,The pan washed Beth,Non-sensible,down,None,0,None,0,2015_Nov_11_1105,85.0911407351,CFS popping time,001,,
32,1,I cut the sand,Sklar_violation,down,None,0,None,0,2015_Nov_11_1105,85.0911407351,CFS popping time,001,,
32,1,I ironed the clothes,Sklar_control_B,up,None,0,None,1,2015_Nov_11_1105,85.0911407351,CFS popping time,001,,
32,1,John carried the kettle,Sensible,up,up,1,2.61055207253,1,2015_Nov_11_1105,85.0911407351,CFS popping time,001,,
32,1,The spoon licked Will,Non-sensible,up,up,1,6.91514015198,1,2015_Nov_11_1105,85.0911407351,CFS popping time,001,,
32,1,The kettle carried John,Non-sensible,up,up,1,7.2208108902,2,2015_Nov_11_1105,85.0911407351,CFS popping time,001,,
