SubjNo,List,prime,prime_semantics,correct response,given response,match?,rt,perceptual rating,date,frameRate,experiment_name,session,participant
10,1,Mary visited the museum,Sensible,up,up,1,1.771318913,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The juice drank Matt,Non-sensible,up,up,1,3.303358078,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Fred stored the rice,Sensible,down,down,1,4.574048996,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I planted the hammer,Sklar_violation,up,up,1,3.810011148,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The nuts mixed Liam,Non-sensible,up,up,1,1.27750206,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Ian filed the report,Sensible,down,down,1,1.559797049,3,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I met the woman,Sklar_filler,up,up,1,2.516113043,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The plans cancelled Ian,Non-sensible,down,down,1,1.599150896,3,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I sewed the sock,Sklar_control_B,up,up,1,3.38697505,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The trophy polished Anna,Non-sensible,up,up,1,1.018690825,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The coins polished Jon,Non-sensible,down,down,1,1.363466024,3,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Lucy wiped the desk,Sensible,up,up,1,7.056349993,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The puzzle solved Joe,Non-sensible,down,down,1,1.434470892,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I fried the shirt,Sklar_violation,up,up,1,4.358855963,3,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Max lent the bucket,Sensible,down,down,1,1.528548002,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The garage tidied Erin,Non-sensible,up,up,1,2.586893082,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The cake iced Mary,Non-sensible,up,up,1,2.704563856,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Alex wrote the report,Sensible,up,up,1,2.174422979,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I fixed up the shed,Sklar_control_A,up,up,1,1.159701109,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Fred lent the car,Sensible,down,down,1,1.021929979,3,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Phil sniffed the milk,Sensible,up,None,0,None,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The mirror kissed Max,Non-sensible,up,up,1,1.042301178,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,John carried the kettle,Sensible,down,None,0,None,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Adam chewed the fat,Sensible,up,up,1,4.609985113,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The papers filed Lara,Non-sensible,up,up,1,1.316638947,3,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The room entered Ryan,Non-sensible,up,up,1,1.128526926,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The hill climbed Luke,Non-sensible,down,down,1,3.08839488,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The trolley pushed Matt,Non-sensible,up,up,1,4.573601961,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I crumpled the paper,Sklar_control_B,down,down,1,4.845191956,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The pan washed Beth,Non-sensible,up,up,1,1.493079901,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The fence jumped Jon,Non-sensible,down,down,1,4.758654118,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Matt drank the juice,Sensible,up,up,1,0.940568924,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Kate wore the dress,Sensible,down,down,1,3.7003088,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The desk wiped Lucy,Non-sensible,down,down,1,4.586095095,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The letter typed Phil,Non-sensible,down,down,1,1.10489893,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I lit the lamp,Sklar_control_B,down,down,1,1.481595993,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Lucy cut the ribbon,Sensible,down,down,1,1.136362076,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I folded the vest,Sklar_control_B,up,up,1,3.363236904,3,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Tim took the ticket,Sensible,down,down,1,3.457154036,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The candy sucked Sam,Non-sensible,up,up,1,3.562475204,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The hospital visited Tom,Non-sensible,up,up,1,2.68844986,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I moved the chair,Sklar_control_A,down,down,1,4.045294046,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Jon jumped the fence,Sensible,up,up,1,1.340391874,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Sam tidied the room,Sensible,up,up,1,3.410429955,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I met the child,Sklar_filler,down,down,1,0.971690893,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I closed the door,Sklar_control_A,up,up,1,2.476994991,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Jay squeezed the lemon,Sensible,down,down,1,0.974849939,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The monitor punched Erin,Non-sensible,up,up,1,1.751147032,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I painted the building,Sklar_filler,up,up,1,2.70468092,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I scrubbed the thunder,Sklar_violation,up,up,1,1.257278919,3,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I cut the string,Sklar_control_B,down,down,1,3.033913136,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I imagined the well,Sklar_filler,up,up,1,2.312059164,1,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,I moved the hat,Sklar_control_A,up,up,1,3.221868038,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Leo stored the wine,Sensible,down,down,1,4.162976027,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,The shoes counted Lucy,Non-sensible,down,down,1,5.232331038,2,2015_Oct_12_0926,85.03041938,CFS popping time,1,
10,1,Luke read the poster,Sensible,up,up,1,1.010922909,3,2015_Oct_12_0926,85.03041938,CFS popping time,1,
