SubjNo,List,prime,prime_semantics,correct response,given response,match?,rt,perceptual rating,date,frameRate,experiment_name,session,participant,
14,1,I broke the water,Sklar_violation,up,up,1,7.39651608467,0,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,I bought the shoe lace,Sklar_filler,up,None,0,None,1,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,The trousers ironed Eve,Non-sensible,down,up,0,5.08026194572,1,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,I solved the exercise,Sklar_control_B,down,up,0,5.8331489563,1,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,Jack mixed the fruits,Sensible,up,up,1,6.2403819561,1,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,Erin described the church,Sensible,down,down,1,3.27656412125,1,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,I interviewed the woman,Sklar_control_B,down,up,0,6.16988110542,1,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,Will mashed the potatoes,Sensible,up,down,0,4.78220701218,1,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,I tasted the wine,Sklar_control_A,down,up,0,4.38214993477,1,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,I spilled the juice,Sklar_control_B,down,down,1,4.00595903397,1,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,Luke fixed the radio,Sensible,up,down,0,6.75806999207,1,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,I wore the vest,Sklar_filler,up,None,0,None,1,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,The folder carried Dan,Non-sensible,up,up,1,7.76160812378,0,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,Anna polished the trophy,Sensible,up,down,0,5.58218693733,1,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,I sold the string,Sklar_filler,down,down,1,6.4917640686,0,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,I locked the cabinet,Sklar_control_B,down,up,0,4.02928996086,1,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,Kate lifted the box,Sensible,up,down,0,5.48010110855,1,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,Bill counted the sheets,Sensible,down,up,0,7.59731912613,1,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,Kate served the dish,Sensible,down,down,1,4.83218407631,1,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,Sam tidied the room,Sensible,up,None,0,None,0,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,Max lent the bucket,Sensible,down,down,1,5.08022284508,1,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,Kate hugged the pillow,Sensible,down,up,0,3.81012201309,1,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,I saw the clouds,Sklar_control_A,up,up,1,5.32634711266,1,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,I sewed the smoke,Sklar_violation,down,down,1,3.84125995636,1,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,The desk wiped Lucy,Non-sensible,down,up,0,3.41004300117,1,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,I dug the paint,Sklar_violation,up,None,0,None,0,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,The office entered Joe,Non-sensible,down,down,1,4.79811906815,1,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,Luke watered the plants,Sensible,up,up,1,3.33965802193,0,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,Liz scrubbed the bowl,Sensible,down,down,1,4.45602202415,1,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,The hair trimmed Bill,Non-sensible,down,up,0,2.96329903603,1,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,The plate licked Jane,Non-sensible,down,up,0,4.77457690239,1,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,The museum visited Mary,Non-sensible,down,up,0,4.63347101212,0,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,Jane punched the wall,Sensible,down,down,1,4.24087810516,0,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,Jack drank the beer,Sensible,down,up,0,4.70394396782,0,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,I threw the peas,Sklar_control_A,up,down,0,3.98560094833,1,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,Emma pulled the rope,Sensible,down,up,0,7.00898480415,1,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,Dan carried the folder,Sensible,down,None,0,None,0,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,The beer drank Jack,Non-sensible,down,up,0,5.76249289513,1,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,I washed the cup,Sklar_filler,up,None,0,None,1,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,I cut the wine,Sklar_violation,up,down,0,6.5697259903,1,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,The portrait painted Jay,Non-sensible,down,up,0,3.43346405029,0,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,The box lifted Kate,Non-sensible,up,up,1,4.00580406189,0,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,I washed the dance,Sklar_violation,down,down,1,2.57094311714,1,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,The rice stored Fred,Non-sensible,up,up,1,4.18640208244,1,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,Erin tidied the garage,Sensible,down,None,0,None,0,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,I scrubbed the house,Sklar_control_B,up,up,1,6.49924588203,1,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
14,1,I warmed up the food,Sklar_filler,up,down,0,5.73886203766,1,2015_Oct_13_1109,84.9603182641,CFS popping time,001,,
