SubjNo,List,prime,prime_semantics,correct response,given response,match?,rt,perceptual rating,date,frameRate,experiment_name,session,participant,
6,1,Erin posted the card,Sensible,up,None,0,None,0,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,Ian cancelled the plans,Sensible,up,down,0,7.20474505424,2,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,I changed the sock,Sklar_filler,up,None,0,None,0,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,The tree hugged Amy,Non-sensible,up,up,1,1.60655283928,1,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,Carl brushed the teeth,Sensible,down,down,1,1.17548489571,1,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,I washed the head,Sklar_filler,up,up,1,3.48090600967,1,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,Jack mixed the fruits,Sensible,down,down,1,0.963953018188,1,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,Ryan entered the room,Sensible,down,down,1,1.10513401031,1,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,Amy measured the thread,Sensible,up,up,1,1.20994997025,1,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,Jack drank the beer,Sensible,up,up,1,3.79472899437,1,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,Tom offered the sweets,Sensible,down,down,1,0.987622976303,2,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,The debt paid Zoe,Non-sensible,up,up,1,1.41096305847,2,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,I tied the shoelace,Sklar_control_B,up,up,1,1.53599691391,1,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,The pillow hugged Kate,Non-sensible,down,down,1,1.30075311661,3,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,I dug the paint,Sklar_violation,down,down,1,1.17556810379,1,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,The bowl scrubbed Liz,Non-sensible,down,down,1,1.08149194717,1,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,I watered the ground,Sklar_control_A,down,down,1,0.987555027008,1,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,I saw the light,Sklar_filler,down,down,1,1.60648798943,1,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,The shelf dusted Jake,Non-sensible,up,up,1,2.14016294479,1,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,Matt drank the juice,Sensible,up,up,1,3.08108305931,1,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,I tore the map,Sklar_control_B,up,up,1,1.34022903442,1,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,I shaved the head,Sklar_control_B,down,down,1,1.26968789101,3,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,I played the melody,Sklar_control_A,up,up,1,0.900856971741,2,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,Carl sold the sofa,Sensible,up,up,1,1.02195596695,1,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,The trophy polished Anna,Non-sensible,down,down,1,1.08913207054,3,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,Jack posted the gift,Sensible,down,down,1,1.41066908836,3,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,Josh scrubbed the pot,Sensible,up,up,1,1.36378312111,1,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,I burnt the stew,Sklar_control_B,down,down,1,0.830618858337,1,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,I imagined the border,Sklar_filler,down,down,1,1.34801793098,2,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,I solved the peas,Sklar_violation,up,up,1,3.9277780056,1,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,Eve ironed the trousers,Sensible,down,down,1,1.24660801888,1,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,Kate wore the dress,Sensible,down,down,1,0.998326063156,2,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,I cooked the rice,Sklar_control_A,down,down,1,1.2931470871,1,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,Luke swallowed the pill,Sensible,up,up,1,2.19450998306,1,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,The hair brushed Dan,Non-sensible,up,up,1,1.17562603951,2,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,Phil chopped the herbs,Sensible,down,down,1,1.39477920532,2,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,I broke the water,Sklar_violation,down,down,1,1.02196502686,2,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,The room searched Jen,Non-sensible,down,down,1,1.08900094032,2,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,I cooked the tomatoes,Sklar_control_B,up,up,1,1.48130202293,1,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,Jay painted the portrait,Sensible,down,down,1,1.60670900345,1,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,Erin crushed the garlic,Sensible,up,up,1,0.728552103043,1,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,Phil cancelled the party,Sensible,up,up,1,1.43430900574,1,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,Tim ate the ham,Sensible,down,up,0,0.775640010834,1,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,Josh crushed the ice,Sensible,down,up,0,0.97139787674,1,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,Ian labeled the box,Sensible,down,down,1,1.15216112137,1,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,The nuts mixed Liam,Non-sensible,up,up,1,1.38736915588,2,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,The blanket stroked Ryan,Non-sensible,up,up,1,1.5157661438,2,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,Mary iced the cake,Sensible,up,up,1,1.41851091385,2,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,I smelled the hair,Sklar_filler,down,down,1,1.05792593956,2,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,The picture painted Ryan,Non-sensible,up,up,1,1.35123586655,1,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,I looked for the way,Sklar_control_A,down,down,1,1.15972018242,2,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
6,1,The house dusted Alex,Non-sensible,up,up,1,1.38739418983,1,2015_Oct_07_1118,85.0159418674,CFS popping time,001,,
