SubjNo,List,word,prime_semantics,info,len,ValMn,correct response,given response,match?,rt,date,frameRate,
27,1,punishment,negative,long negative,10,2.22,up,None,0,None,2016_Aug_23_1127,84.9983234868,
27,1,location,neutral,long neutral,8,5.36,up,up,1,1.66981829191,2016_Aug_23_1127,84.9983234868,
27,1,inhabitant,neutral,long neutral,10,5.05,down,None,0,None,2016_Aug_23_1127,84.9983234868,
27,1,yolk,neutral,short neutral,4,5.48,up,None,0,None,2016_Aug_23_1127,84.9983234868,
27,1,elderly,neutral,long neutral,7,4.86,up,None,0,None,2016_Aug_23_1127,84.9983234868,
27,1,lamp,neutral,short neutral,4,5.41,up,None,0,None,2016_Aug_23_1127,84.9983234868,
27,1,jealous,negative,long negative,7,2.86,up,None,0,None,2016_Aug_23_1127,84.9983234868,
27,1,clarinet,neutral,long neutral,8,5.7,up,up,1,1.01109504653,2016_Aug_23_1127,84.9983234868,
27,1,hour,neutral,short neutral,4,5.1,up,up,1,0.964142351644,2016_Aug_23_1127,84.9983234868,
27,1,smallpox,negative,long negative,8,2.52,up,up,1,2.03436821664,2016_Aug_23_1127,84.9983234868,
27,1,jar,neutral,short neutral,3,5.21,up,up,1,1.30512308015,2016_Aug_23_1127,84.9983234868,
27,1,burn,negative,short negative,4,2.73,up,None,0,None,2016_Aug_23_1127,84.9983234868,
27,1,quit,negative,short negative,4,2.46,down,None,0,None,2016_Aug_23_1127,84.9983234868,
27,1,lung,neutral,short neutral,4,5.21,down,down,1,1.78734675923,2016_Aug_23_1127,84.9983234868,
27,1,shoplifter,negative,long negative,10,2.93,up,None,0,None,2016_Aug_23_1127,84.9983234868,
27,1,arm,neutral,short neutral,3,5.34,up,None,0,None,2016_Aug_23_1127,84.9983234868,
27,1,boyfriend,neutral,long neutral,9,5.74,down,down,1,6.68003488169,2016_Aug_23_1127,84.9983234868,
27,1,body,neutral,short neutral,4,5.55,down,down,1,2.86930141691,2016_Aug_23_1127,84.9983234868,
27,1,end,negative,short negative,3,3.44,down,down,1,1.23458515294,2016_Aug_23_1127,84.9983234868,
27,1,rash,negative,short negative,4,2.54,down,down,1,1.30516284972,2016_Aug_23_1127,84.9983234868,
27,1,selfish,negative,long negative,7,2.42,up,up,1,1.96376710723,2016_Aug_23_1127,84.9983234868,
27,1,nose,neutral,short neutral,4,4.71,up,up,1,1.98734111444,2016_Aug_23_1127,84.9983234868,
27,1,disgusting,negative,long negative,10,2.96,up,up,1,3.38686125074,2016_Aug_23_1127,84.9983234868,
27,1,taxi,neutral,short neutral,4,5.0,down,down,1,2.11670838192,2016_Aug_23_1127,84.9983234868,
27,1,mile,neutral,short neutral,4,5.24,down,None,0,None,2016_Aug_23_1127,84.9983234868,
27,1,mood,neutral,short neutral,4,5.6,down,down,1,3.08109833067,2016_Aug_23_1127,84.9983234868,
27,1,vest,neutral,short neutral,4,5.25,down,down,1,4.13959668612,2016_Aug_23_1127,84.9983234868,
27,1,arch,neutral,short neutral,4,5.37,down,down,1,7.97371076292,2016_Aug_23_1127,84.9983234868,
27,1,lost,negative,short negative,4,2.82,up,up,1,1.34039284568,2016_Aug_23_1127,84.9983234868,
27,1,reverent,neutral,long neutral,8,5.35,down,None,0,None,2016_Aug_23_1127,84.9983234868,
27,1,hurt,negative,short negative,4,1.9,up,up,1,1.5874505447,2016_Aug_23_1127,84.9983234868,
27,1,hospital,neutral,long neutral,8,5.04,up,up,1,2.08140910999,2016_Aug_23_1127,84.9983234868,
