SubjNo,List,word,prime_semantics,info,len,ValMn,correct response,given response,match?,rt,date,frameRate,
15,1,wood,neutral,short neutral,4,5.86,down,down,1,2.9634884001,2016_Aug_15_1244,85.0458510178,
15,1,gun,negative,short negative,3,3.47,down,down,1,3.97492661886,2016_Aug_15_1244,85.0458510178,
15,1,antique,neutral,long neutral,7,5.39,up,down,0,1.11700986023,2016_Aug_15_1244,85.0458510178,
15,1,surgery,negative,long negative,7,2.86,down,up,0,1.62279888697,2016_Aug_15_1244,85.0458510178,
15,1,pervert,negative,long negative,7,2.79,up,up,1,4.35130989162,2016_Aug_15_1244,85.0458510178,
15,1,path,neutral,short neutral,4,5.74,up,up,1,0.707734973577,2016_Aug_15_1244,85.0458510178,
15,1,ridicule,negative,long negative,8,3.13,down,up,0,4.18690794776,2016_Aug_15_1244,85.0458510178,
15,1,slap,negative,short negative,4,2.95,up,up,1,1.70504957077,2016_Aug_15_1244,85.0458510178,
15,1,horrible,negative,long negative,8,2.28,up,up,1,3.03402696882,2016_Aug_15_1244,85.0458510178,
15,1,passage,neutral,long neutral,7,5.28,down,down,1,5.6332736577,2016_Aug_15_1244,85.0458510178,
15,1,van,neutral,short neutral,3,4.97,down,down,1,1.05818212376,2016_Aug_15_1244,85.0458510178,
15,1,fail,negative,short negative,4,1.79,up,up,1,0.740604457795,2016_Aug_15_1244,85.0458510178,
15,1,ketchup,neutral,long neutral,7,5.6,up,up,1,0.646516898181,2016_Aug_15_1244,85.0458510178,
15,1,mob,negative,short negative,3,3.27,up,up,1,0.693583449232,2016_Aug_15_1244,85.0458510178,
15,1,flaw,negative,short negative,4,3.28,down,down,1,1.39926740748,2016_Aug_15_1244,85.0458510178,
15,1,gate,neutral,short neutral,4,5.52,up,up,1,1.57567204023,2016_Aug_15_1244,85.0458510178,
15,1,fact,neutral,short neutral,4,5.55,up,up,1,0.858818948793,2016_Aug_15_1244,85.0458510178,
15,1,dump,negative,short negative,4,3.21,up,up,1,1.01110851683,2016_Aug_15_1244,85.0458510178,
15,1,fear,negative,short negative,4,2.76,down,down,1,0.705329560791,2016_Aug_15_1244,85.0458510178,
15,1,ban,negative,short negative,3,3.48,up,up,1,0.752353135147,2016_Aug_15_1244,85.0458510178,
15,1,handicap,negative,long negative,8,3.29,up,up,1,1.61091486504,2016_Aug_15_1244,85.0458510178,
15,1,barn,neutral,short neutral,4,5.48,up,up,1,0.683855960029,2016_Aug_15_1244,85.0458510178,
15,1,crushed,negative,long negative,7,2.21,up,up,1,1.29338210012,2016_Aug_15_1244,85.0458510178,
15,1,cripple,negative,long negative,7,2.89,up,up,1,0.611255150812,2016_Aug_15_1244,85.0458510178,
15,1,murderer,negative,long negative,8,1.53,down,down,1,0.740620173165,2016_Aug_15_1244,85.0458510178,
15,1,soak,neutral,short neutral,4,5.38,up,up,1,0.646531330654,2016_Aug_15_1244,85.0458510178,
