SubjNo,List,word,prime_semantics,info,len,ValMn,correct response,given response,match?,rt,date,frameRate,
21,1,bulb,neutral,short neutral,4,5.17,up,up,1,1.01111396914,2016_Aug_17_1009,85.0511867385,
21,1,cord,neutral,short neutral,4,5.1,down,down,1,0.705339503125,2016_Aug_17_1009,85.0511867385,
21,1,activate,neutral,long neutral,8,5.46,down,down,1,0.740598364035,2016_Aug_17_1009,85.0511867385,
21,1,missiles,negative,long negative,8,3.17,down,down,1,0.787650803337,2016_Aug_17_1009,85.0511867385,
21,1,soak,neutral,short neutral,4,5.38,down,down,1,0.83470099757,2016_Aug_17_1009,85.0511867385,
21,1,ham,neutral,short neutral,3,5.31,down,down,1,1.14052902395,2016_Aug_17_1009,85.0511867385,
21,1,yolk,neutral,short neutral,4,5.48,down,down,1,1.30516092526,2016_Aug_17_1009,85.0511867385,
21,1,prairie,neutral,long neutral,7,5.75,down,down,1,1.45809738908,2016_Aug_17_1009,85.0511867385,
21,1,nuisance,negative,long negative,8,3.27,up,up,1,1.49335528782,2016_Aug_17_1009,85.0511867385,
21,1,army,neutral,short neutral,4,4.72,down,down,1,1.39933251403,2016_Aug_17_1009,85.0511867385,
21,1,newspaper,neutral,long neutral,9,5.52,down,down,1,1.09346792533,2016_Aug_17_1009,85.0511867385,
21,1,cognition,neutral,long neutral,9,5.57,down,down,1,0.858243894647,2016_Aug_17_1009,85.0511867385,
21,1,herd,neutral,short neutral,4,5.0,down,down,1,1.43455769913,2016_Aug_17_1009,85.0511867385,
21,1,wood,neutral,short neutral,4,5.86,down,down,1,0.952338510193,2016_Aug_17_1009,85.0511867385,
21,1,tusk,neutral,short neutral,4,5.41,up,up,1,1.37572354812,2016_Aug_17_1009,85.0511867385,
21,1,measles,negative,long negative,7,2.74,down,down,1,0.952325360617,2016_Aug_17_1009,85.0511867385,
21,1,inhabitant,neutral,long neutral,10,5.05,up,up,1,1.72857322462,2016_Aug_17_1009,85.0511867385,
21,1,lack,negative,short negative,4,3.21,up,up,1,1.63447700557,2016_Aug_17_1009,85.0511867385,
21,1,burglar,negative,long negative,7,2.52,up,up,1,1.32867303328,2016_Aug_17_1009,85.0511867385,
21,1,slum,negative,short negative,4,2.39,down,down,1,0.917043728521,2016_Aug_17_1009,85.0511867385,
21,1,flaw,negative,short negative,4,3.28,up,up,1,1.4933966609,2016_Aug_17_1009,85.0511867385,
21,1,allergy,negative,long negative,7,3.07,down,down,1,0.870023361407,2016_Aug_17_1009,85.0511867385,
21,1,explosion,neutral,long neutral,9,5.18,down,down,1,1.01109472569,2016_Aug_17_1009,85.0511867385,
21,1,hurl,negative,short negative,4,3.12,down,down,1,1.18752437481,2016_Aug_17_1009,85.0511867385,
21,1,nag,negative,short negative,3,2.9,down,down,1,1.5874194348,2016_Aug_17_1009,85.0511867385,
21,1,cigarette,negative,long negative,9,2.46,up,up,1,1.14054249437,2016_Aug_17_1009,85.0511867385,
21,1,dump,negative,short negative,4,3.21,up,up,1,1.28167447518,2016_Aug_17_1009,85.0511867385,
21,1,mastectomy,negative,long negative,10,2.89,up,up,1,0.917014542851,2016_Aug_17_1009,85.0511867385,
21,1,intoxicated,neutral,long neutral,11,5.0,down,down,1,0.882436894812,2016_Aug_17_1009,85.0511867385,
21,1,ban,negative,short negative,3,3.48,down,down,1,0.717093632789,2016_Aug_17_1009,85.0511867385,
21,1,selfish,negative,long negative,7,2.42,up,up,1,1.48155786074,2016_Aug_17_1009,85.0511867385,
21,1,immature,negative,long negative,8,3.39,down,down,1,0.917042766348,2016_Aug_17_1009,85.0511867385,
21,1,envy,negative,short negative,4,3.41,down,down,1,1.58741879323,2016_Aug_17_1009,85.0511867385,
21,1,crushed,negative,long negative,7,2.21,up,up,1,0.752416638075,2016_Aug_17_1009,85.0511867385,
21,1,mushroom,neutral,long neutral,8,5.78,down,down,1,0.693583128508,2016_Aug_17_1009,85.0511867385,
21,1,odor,negative,short negative,4,2.52,down,down,1,0.775905974559,2016_Aug_17_1009,85.0511867385,
21,1,robbery,negative,long negative,7,2.42,down,down,1,0.964052870288,2016_Aug_17_1009,85.0511867385,
21,1,handicapped,negative,long negative,11,3.23,up,up,1,0.799428024911,2016_Aug_17_1009,85.0511867385,
21,1,pry,negative,short negative,3,3.47,down,down,1,6.99758592772,2016_Aug_17_1009,85.0511867385,
21,1,vest,neutral,short neutral,4,5.25,down,down,1,4.30427894066,2016_Aug_17_1009,85.0511867385,
21,1,calender,neutral,long neutral,8,5.42,up,up,1,0.964089432615,2016_Aug_17_1009,85.0511867385,
21,1,slap,negative,short negative,4,2.95,up,up,1,1.03465333837,2016_Aug_17_1009,85.0511867385,
21,1,clay,neutral,short neutral,4,5.33,up,up,1,1.31693301536,2016_Aug_17_1009,85.0511867385,
21,1,jealousy,negative,long negative,8,2.51,up,up,1,0.775944781955,2016_Aug_17_1009,85.0511867385,
21,1,owe,negative,short negative,3,3.25,down,down,1,0.987640989246,2016_Aug_17_1009,85.0511867385,
21,1,lamp,neutral,short neutral,4,5.41,down,down,1,1.18749262346,2016_Aug_17_1009,85.0511867385,
21,1,violent,negative,long negative,7,2.29,up,up,1,0.952360319323,2016_Aug_17_1009,85.0511867385,
21,1,pint,neutral,short neutral,4,5.41,down,down,1,0.917038276209,2016_Aug_17_1009,85.0511867385,
21,1,propeller,neutral,long neutral,9,5.43,down,down,1,1.01115854946,2016_Aug_17_1009,85.0511867385,
21,1,boyfriend,neutral,long neutral,9,5.74,up,up,1,0.848737382796,2016_Aug_17_1009,85.0511867385,
21,1,wolf,neutral,short neutral,4,5.0,down,down,1,1.38748697867,2016_Aug_17_1009,85.0511867385,
21,1,elderly,neutral,long neutral,7,4.86,down,down,1,1.17577986687,2016_Aug_17_1009,85.0511867385,
