SubjNo,List,word,prime_semantics,info,len,ValMn,correct response,given response,match?,rt,date,frameRate,
24,1,flee,negative,short negative,4,3.29,up,None,0,None,2016_Aug_22_1133,85.0173281233,
24,1,temptation,neutral,long neutral,10,4.94,down,down,1,1.0229421854,2016_Aug_22_1133,85.0173281233,
24,1,mushroom,neutral,long neutral,8,5.78,down,down,1,0.940595926601,2016_Aug_22_1133,85.0173281233,
24,1,deformed,negative,long negative,8,2.41,down,down,1,0.987633291865,2016_Aug_22_1133,85.0173281233,
24,1,bastard,negative,long negative,7,3.36,down,down,1,0.987603464746,2016_Aug_22_1133,85.0173281233,
24,1,bulb,neutral,short neutral,4,5.17,down,down,1,1.04643601226,2016_Aug_22_1133,85.0173281233,
24,1,hostile,negative,long negative,7,2.73,up,None,0,None,2016_Aug_22_1133,85.0173281233,
24,1,dead,negative,short negative,4,1.94,down,down,1,1.08170962625,2016_Aug_22_1133,85.0173281233,
24,1,cord,neutral,short neutral,4,5.1,up,up,1,1.35229803505,2016_Aug_22_1133,85.0173281233,
24,1,calender,neutral,long neutral,8,5.42,down,down,1,0.89351750887,2016_Aug_22_1133,85.0173281233,
24,1,body,neutral,short neutral,4,5.55,down,down,1,1.09349550738,2016_Aug_22_1133,85.0173281233,
24,1,lack,negative,short negative,4,3.21,down,down,1,0.905307880021,2016_Aug_22_1133,85.0173281233,
24,1,sad,negative,short negative,3,1.61,down,down,1,0.975826243171,2016_Aug_22_1133,85.0173281233,
24,1,mastectomy,negative,long negative,10,2.89,up,up,1,1.05815967324,2016_Aug_22_1133,85.0173281233,
24,1,irritate,negative,long negative,8,3.11,up,up,1,7.11518751958,2016_Aug_22_1133,85.0173281233,
24,1,exam,negative,short negative,4,2.76,down,down,1,1.68155029172,2016_Aug_22_1133,85.0173281233,
24,1,privacy,neutral,long neutral,7,5.88,down,down,1,1.09352084436,2016_Aug_22_1133,85.0173281233,
24,1,arch,neutral,short neutral,4,5.37,down,down,1,1.59918158234,2016_Aug_22_1133,85.0173281233,
24,1,lane,neutral,short neutral,4,5.39,down,down,1,2.15199482488,2016_Aug_22_1133,85.0173281233,
24,1,punishment,negative,long negative,10,2.22,down,down,1,0.834708374226,2016_Aug_22_1133,85.0173281233,
24,1,activate,neutral,long neutral,8,5.46,up,up,1,1.16399623081,2016_Aug_22_1133,85.0173281233,
24,1,fail,negative,short negative,4,1.79,up,up,1,1.34055577219,2016_Aug_22_1133,85.0173281233,
24,1,enraged,negative,long negative,7,2.46,down,down,1,1.14053287264,2016_Aug_22_1133,85.0173281233,
24,1,hairdryer,neutral,long neutral,9,4.84,up,up,1,0.91703250329,2016_Aug_22_1133,85.0173281233,
24,1,handicap,negative,long negative,8,3.29,down,down,1,1.05817153992,2016_Aug_22_1133,85.0173281233,
24,1,rob,negative,short negative,3,2.8,down,down,1,1.29339909833,2016_Aug_22_1133,85.0173281233,
24,1,wasp,negative,short negative,4,3.37,down,down,1,1.01116303948,2016_Aug_22_1133,85.0173281233,
24,1,elderly,neutral,long neutral,7,4.86,up,up,1,1.90498138533,2016_Aug_22_1133,85.0173281233,
24,1,stun,neutral,short neutral,4,4.93,down,down,1,1.716768421,2016_Aug_22_1133,85.0173281233,
24,1,hour,neutral,short neutral,4,5.1,down,down,1,0.952335302951,2016_Aug_22_1133,85.0173281233,
24,1,despise,negative,long negative,7,2.03,down,down,1,0.881786471233,2016_Aug_22_1133,85.0173281233,
24,1,slob,negative,short negative,4,3.12,down,down,1,1.10525091982,2016_Aug_22_1133,85.0173281233,
24,1,scrotum,neutral,long neutral,7,5.85,up,up,1,1.01115502149,2016_Aug_22_1133,85.0173281233,
24,1,fake,negative,short negative,4,3.1,down,down,1,0.905280618696,2016_Aug_22_1133,85.0173281233,
24,1,pus,negative,short negative,3,2.86,down,down,1,1.23465346661,2016_Aug_22_1133,85.0173281233,
24,1,sick,negative,short negative,4,1.9,down,down,1,0.999368819757,2016_Aug_22_1133,85.0173281233,
24,1,passage,neutral,long neutral,7,5.28,up,up,1,0.870000910829,2016_Aug_22_1133,85.0173281233,
24,1,discouraged,negative,long negative,11,3.0,down,down,1,1.0229017745,2016_Aug_22_1133,85.0173281233,
24,1,end,negative,short negative,3,3.44,down,down,1,0.928826723015,2016_Aug_22_1133,85.0173281233,
24,1,invader,negative,long negative,7,3.05,up,up,1,0.858195145149,2016_Aug_22_1133,85.0173281233,
24,1,rat,negative,short negative,3,3.02,down,down,1,1.69525665441,2016_Aug_22_1133,85.0173281233,
24,1,whistle,neutral,long neutral,7,5.81,down,down,1,0.834695224534,2016_Aug_22_1133,85.0173281233,
24,1,umbrella,neutral,long neutral,8,5.16,up,up,1,0.975872106384,2016_Aug_22_1133,85.0173281233,
24,1,vine,neutral,short neutral,4,5.36,up,up,1,1.92846783542,2016_Aug_22_1133,85.0173281233,
24,1,name,neutral,short neutral,4,5.55,up,up,1,1.45805729879,2016_Aug_22_1133,85.0173281233,
24,1,cat,neutral,short neutral,3,5.72,down,down,1,3.79855758627,2016_Aug_22_1133,85.0173281233,
24,1,cabinet,neutral,long neutral,7,5.05,up,up,1,0.975867616246,2016_Aug_22_1133,85.0173281233,
24,1,infection,negative,long negative,9,1.66,down,down,1,0.775903088157,2016_Aug_22_1133,85.0173281233,
24,1,decompose,negative,long negative,9,3.2,up,up,1,0.834715109318,2016_Aug_22_1133,85.0173281233,
24,1,appliance,neutral,long neutral,9,5.1,down,down,1,0.822999145603,2016_Aug_22_1133,85.0173281233,
24,1,loss,negative,short negative,4,1.89,up,up,1,0.989605409675,2016_Aug_22_1133,85.0173281233,
24,1,hell,negative,short negative,4,2.24,down,down,1,0.964105789433,2016_Aug_22_1133,85.0173281233,
24,1,hospital,neutral,long neutral,8,5.04,up,up,1,0.928800423862,2016_Aug_22_1133,85.0173281233,
24,1,destroy,negative,long negative,7,2.64,down,down,1,0.752334212651,2016_Aug_22_1133,85.0173281233,
24,1,arm,neutral,short neutral,3,5.34,down,down,1,0.811171570676,2016_Aug_22_1133,85.0173281233,
24,1,fact,neutral,short neutral,4,5.55,up,up,1,1.63444429194,2016_Aug_22_1133,85.0173281233,
24,1,aggressive,neutral,long neutral,10,5.1,down,down,1,0.799450796214,2016_Aug_22_1133,85.0173281233,
24,1,taxi,neutral,short neutral,4,5.0,up,up,1,1.41100421804,2016_Aug_22_1133,85.0173281233,
24,1,rot,negative,short negative,3,2.68,down,down,1,1.36395466537,2016_Aug_22_1133,85.0173281233,
24,1,calf,neutral,short neutral,4,5.39,down,down,1,0.999368178193,2016_Aug_22_1133,85.0173281233,
24,1,antique,neutral,long neutral,7,5.39,down,down,1,1.01116271876,2016_Aug_22_1133,85.0173281233,
24,1,pale,negative,short negative,4,3.17,down,down,1,0.822971884278,2016_Aug_22_1133,85.0173281233,
24,1,glacier,neutral,long neutral,7,5.5,down,down,1,1.17572341987,2016_Aug_22_1133,85.0173281233,
24,1,herd,neutral,short neutral,4,5.0,down,down,1,0.989561791532,2016_Aug_22_1133,85.0173281233,
24,1,fad,neutral,short neutral,3,5.08,down,down,1,1.16402445443,2016_Aug_22_1133,85.0173281233,
24,1,soak,neutral,short neutral,4,5.38,down,down,1,1.23464095849,2016_Aug_22_1133,85.0173281233,
24,1,knitting,neutral,long neutral,8,4.94,up,up,1,0.917035069084,2016_Aug_22_1133,85.0173281233,
24,1,odor,negative,short negative,4,2.52,down,down,1,1.39925425791,2016_Aug_22_1133,85.0173281233,
24,1,quit,negative,short negative,4,2.46,up,up,1,0.811191455461,2016_Aug_22_1133,85.0173281233,
24,1,germ,negative,short negative,4,3.35,down,down,1,0.681841186364,2016_Aug_22_1133,85.0173281233,
24,1,rape,negative,short negative,4,1.25,up,up,1,1.04643857793,2016_Aug_22_1133,85.0173281233,
24,1,flu,negative,short negative,3,2.52,up,up,1,1.14060022426,2016_Aug_22_1133,85.0173281233,
24,1,lighthouse,neutral,long neutral,10,5.89,up,up,1,0.787668122328,2016_Aug_22_1133,85.0173281233,
24,1,law,neutral,short neutral,3,5.1,down,down,1,6.40953499207,2016_Aug_22_1133,85.0173281233,
24,1,robbery,negative,long negative,7,2.42,up,up,1,1.34257150802,2016_Aug_22_1133,85.0173281233,
24,1,hurricane,negative,long negative,9,3.34,up,up,1,0.952323756996,2016_Aug_22_1133,85.0173281233,
24,1,aggravation,negative,long negative,11,2.1,down,down,1,0.799488320597,2016_Aug_22_1133,85.0173281233,
24,1,shun,negative,short negative,4,2.97,down,down,1,0.987629764015,2016_Aug_22_1133,85.0173281233,
24,1,lose,negative,short negative,4,2.81,down,down,1,1.71681075625,2016_Aug_22_1133,85.0173281233,
24,1,wolf,neutral,short neutral,4,5.0,up,up,1,1.02291716915,2016_Aug_22_1133,85.0173281233,
24,1,van,neutral,short neutral,3,4.97,down,down,1,1.16399558936,2016_Aug_22_1133,85.0173281233,
24,1,mad,negative,short negative,3,2.44,up,up,1,1.08238538681,2016_Aug_22_1133,85.0173281233,
24,1,distress,negative,long negative,8,2.67,down,down,1,1.35414892004,2016_Aug_22_1133,85.0173281233,
24,1,cripple,negative,long negative,7,2.89,down,down,1,0.987637140672,2016_Aug_22_1133,85.0173281233,
24,1,unfaithful,negative,long negative,10,2.05,down,down,1,0.775883524097,2016_Aug_22_1133,85.0173281233,
24,1,shoplifter,negative,long negative,10,2.93,down,down,1,0.905182798509,2016_Aug_22_1133,85.0173281233,
24,1,dent,negative,short negative,4,2.93,down,down,1,0.964050946059,2016_Aug_22_1133,85.0173281233,
24,1,slap,negative,short negative,4,2.95,down,down,1,0.752379754907,2016_Aug_22_1133,85.0173281233,
24,1,reverent,neutral,long neutral,8,5.35,down,down,1,0.775930670323,2016_Aug_22_1133,85.0173281233,
24,1,monk,neutral,short neutral,4,5.18,down,down,1,0.94056064717,2016_Aug_22_1133,85.0173281233,
24,1,ketchup,neutral,long neutral,7,5.6,down,down,1,0.764169164002,2016_Aug_22_1133,85.0173281233,
24,1,pig,neutral,short neutral,3,5.07,up,up,1,1.42279426858,2016_Aug_22_1133,85.0173281233,
24,1,cocaine,negative,long negative,7,3.37,down,down,1,0.673253862769,2016_Aug_22_1133,85.0173281233,
24,1,ban,negative,short negative,3,3.48,down,down,1,0.787656576373,2016_Aug_22_1133,85.0173281233,
24,1,bankrupt,negative,long negative,8,2.0,down,down,1,0.917083497974,2016_Aug_22_1133,85.0173281233,
24,1,tourist,neutral,long neutral,7,5.66,up,up,1,3.91616174381,2016_Aug_22_1133,85.0173281233,
24,1,jar,neutral,short neutral,3,5.21,down,down,1,2.41071204073,2016_Aug_22_1133,85.0173281233,
24,1,pry,negative,short negative,3,3.47,up,up,1,0.928807800519,2016_Aug_22_1133,85.0173281233,
24,1,empathy,neutral,long neutral,7,5.32,up,up,1,1.03467899607,2016_Aug_22_1133,85.0173281233,
24,1,debt,negative,short negative,4,2.22,up,up,1,1.09348877217,2016_Aug_22_1133,85.0173281233,
24,1,fear,negative,short negative,4,2.76,up,up,1,1.05820104631,2016_Aug_22_1133,85.0173281233,
24,1,lamb,neutral,short neutral,4,5.89,up,up,1,1.22282941965,2016_Aug_22_1133,85.0173281233,
24,1,lightbulb,neutral,long neutral,9,5.61,down,down,1,1.05824209866,2016_Aug_22_1133,85.0173281233,
24,1,burn,negative,short negative,4,2.73,down,down,1,1.06992406584,2016_Aug_22_1133,85.0173281233,
24,1,riot,negative,short negative,4,2.96,up,up,1,1.04643825721,2016_Aug_22_1133,85.0173281233,
24,1,hat,neutral,short neutral,3,5.46,up,up,1,5.3039607848,2016_Aug_22_1133,85.0173281233,
24,1,mistake,negative,long negative,7,2.86,down,down,1,1.15226102376,2016_Aug_22_1133,85.0173281233,
