Prime,Semantics,Contrast,Condition,MeanAffectivity
woolly hat,Negative phrase,50,Test,0
linen trousers,Negative phrase,50,Test,0
paper bag,Negative phrase,50,Test,0
The salad is on the table,Neutral sentence,50,Test,0
cheese board,Neutral phrase,50,Test,0
The doctor examined the file,Negative sentence,50,Test,0
