Unnamed: 0,Condition,Contrast,List,MeanAffectivity,SubjNo,correct response,date,experiment_name,frameRate,given response,match?,participant,perceptual rating,prime,prime_semantics,rt,session,PairID,W1 score,W2 score
71,Sklar_Hebrew_neutral,50,1,2.05,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,3,ארון בגדים,Hebrew,0.7610938549040001,1,,,
72,New,50,1,0.772727273,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,3,desk lamp,Neutral phrase,0.843515872955,1,1022.0,0.523809524,0.9069767440000001
73,New,50,1,-2.325581395,10,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,3,runny nose,Negative phrase,0.8235499858859999,1,1035.0,-1.11627907,0.441860465
74,New,50,1,-2.80952381,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,2,The dog scared the child,Negative sentence,2.33703112602,1,26.0,,
75,Sklar_Hebrew_neutral,50,1,-0.3,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,שמשה קדמית,Hebrew,4.18746495247,1,,,
76,New,50,1,2.681818182,10,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,The bunny outwitted the hunter,Neutral sentence,3.24630498886,1,22.0,,
77,Sklar_Hebrew_negative,80,1,-3.85,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,2,נרדם בנהיגה,Hebrew,1.10583305359,1,,,
78,New,50,1,-4.048780488,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,The poacher caught the elephant,Negative sentence,2.37614202499,1,8.0,,
79,New,50,1,-4.363636364,10,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,Dad slapped the toddler,Negative sentence,1.8939690589900002,1,5.0,,
80,Sklar,50,1,0.522727273,10,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,3,apartment building,Neutral phrase,1.93386411667,1,1001.0,0.795454545,1.113636364
81,Sklar_Hebrew_negative,50,1,-3.45,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,ריח מהפה,Hebrew,1.52952384949,1,,,
82,Sklar_Hebrew_neutral,50,1,1.9,10,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,חולצה מגוהצת,Hebrew,0.964783906937,1,,,
83,Sklar,50,1,-3.5111111110000004,10,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,root canal,Negative phrase,0.729788064957,1,1024.0,0.590909091,0.428571429
84,Sklar_Hebrew_neutral,80,1,0.1,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,פסי האטה,Hebrew,1.5292069912000001,1,,,
85,Sklar_Hebrew_negative,80,1,-2.55,10,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,שטיפת קיבה,Hebrew,1.03116893768,1,,,
86,Sklar_Hebrew_negative,50,1,-4.1,10,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,סחר בנשים,Hebrew,1.08707094193,1,,,
87,Sklar,50,1,0.181818182,10,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,carpark,Neutral phrase,0.847339868546,1,1008.0,1.078651685,1.9534883719999998
88,Sklar_Hebrew_negative,50,1,-4.35,10,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,מחנה ריכוז,Hebrew,1.6115629672999998,1,,,
89,Sklar_Hebrew_negative,80,1,-2.0,10,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,בן-כלבה,Hebrew,1.2517490387,1,,,
90,Sklar_Hebrew_negative,50,1,-2.7,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,3,לקפוץ מהגג,Hebrew,1.09423303604,1,,,
91,Sklar_Hebrew_neutral,50,1,1.45,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,3,תיקרה גבוהה,Hebrew,0.953129053116,1,,,
92,New,50,1,-2.311111111,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,3,Steve jumped on the dog,Negative sentence,1.02831983566,1,11.0,,
93,Sklar,50,1,-2.8604651160000003,10,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,black eye,Negative phrase,1.13719201088,1,1031.0,-0.297619048,1.0
94,Sklar_Hebrew_negative,50,1,-3.35,10,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,פיטריות ברגליים,Hebrew,1.4822769165,1,,,
95,Sklar_Hebrew_neutral,80,1,0.75,10,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,3,מסך מחשב,Hebrew,0.941051959991,1,,,
96,Sklar,50,1,-3.0,10,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,stomach pump,Negative phrase,1.23511099815,1,1033.0,0.318181818,0.4
