Stimuli,mean,std,Condition,PairID
body wash,1.697674419,1.488605671,Neutral phrase,1014
body,0.365853659,1.156635153,Neutral phrase W1,1014
wash,1.073170732,1.421095421,Neutral phrase W2,1014
bumps,-0.733333333,1.156011953,Neutral phrase W2,1015
speed,0.166666667,1.42993547,Neutral phrase W1,1015
speed bumps,-0.666666667,1.11894259,Neutral phrase,1015
shield,1.568181818,1.590637246,Neutral phrase W2,1016
wind,0.477272727,1.486194397,Neutral phrase W1,1016
windshield,0.454545455,1.150420458,Neutral phrase,1016
wooden,0.295454545,1.090754922,Neutral phrase W1,1017
stool,-0.142857143,0.646620806,Neutral phrase W2,1017
wooden stool,0.292682927,1.123474576,Neutral phrase,1017
box.1,0.244186047,0.81075196,Neutral phrase W2,1018
letter,0.844444444,1.445298893,Neutral phrase W1,1018
letterbox,0.522727273,1.266539625,Neutral phrase,1018
back,0.162790698,0.949441755,Neutral phrase W1,1019
backpack,0.744186047,1.025694266,Neutral phrase,1019
pack,0.23255814,0.895417149,Neutral phrase W2,1019
high,0.568181818,1.387615108,Neutral phrase W1,1020
high ceiling,0.813953488,1.295703779,Neutral phrase,1020
ceiling,0.317073171,1.035350771,Neutral phrase W2,1020
tin opener,0.555555556,1.056485502,Neutral phrase,1021
opener,0.659090909,0.938657671,Neutral phrase W2,1021
tin,0.023255814,0.706715141,Neutral phrase W1,1021
desk lamp,0.772727273,1.460545237,Neutral phrase,1022
lamp,0.906976744,1.585859441,Neutral phrase W2,1022
desk,0.523809524,1.214507734,Neutral phrase W1,1022
table,0.822222222,1.434777285,Neutral phrase W2,1023
dining,1.931818182,1.561122543,Neutral phrase W1,1023
dining table,1.302325581,1.766552787,Neutral phrase,1023
root canal,-3.511111111,1.632374487,Negative phrase,1024
root,0.590909091,1.167748416,Negative W1,1024
canal,0.428571429,1.107465953,Negative W2,1024
head.1,0.770114943,1.633238682,Negative W2,1025
skinhead,-3.285714286,1.419132581,Negative phrase,1025
skin,0.56097561,1.285472296,Negative W1,1025
camp,1.159090909,1.429639438,Negative W2,1026
concentration,1.534883721,2.153058038,Negative W1,1026
concentration camp,-4.395348837,1.275026328,Negative phrase,1026
dose,-0.386363636,1.039138934,Negative W2,1027
overdose,-3.833333333,1.267158655,Negative phrase,1027
over,0.073170732,0.877218442,Negative W1,1027
state,0.431818182,1.128854683,Negative W2,1028
vegetative,-1.954545455,2.486751364,Negative W1,1028
vegetative state,-3.465116279,2.423582916,Negative phrase,1028
fungas,-1.727272727,1.619124604,Negative W2,1029
foot,0.372093023,1.06956279,Negative W1,1029
foot fungus,-3.488372093,1.120631051,Negative phrase,1029
knees,0.418604651,1.028928202,Negative W2,1030
weak knees,-2.255813953,1.216807362,Negative phrase,1030
weak,-1.880952381,1.595762391,Negative W1,1030
black eye,-2.860465116,1.264560819,Negative phrase,1031
eye,1,1.786190413,Negative W2,1031
bad breath,-2.933333333,1.420627262,Negative phrase,1032
bad,-2.931818182,1.453107773,Negative W1,1032
breath,1.317073171,1.679866429,Negative W2,1032
pump,0.4,1.074497769,Negative W2,1033
stomach,0.318181818,1.115904624,Negative W1,1033
stomach pump,-3,1.618347187,Negative phrase,1033
boarding,0.159090909,1.256484239,Negative W2,1034
water,1.302325581,1.669543475,Negative W1,1034
water boarding,-3.139534884,2.623895644,Negative phrase,1034
nose,0.441860465,0.95872747,Negative W2,1035
runny,-1.11627907,1.348884942,Negative W1,1035
runny nose,-2.325581395,1.017020163,Negative phrase,1035
cow,0.977272727,1.562476215,Negative W1,1036
cow pat,-1.090909091,1.427604626,Negative phrase,1036
pat,0.954545455,1.34604581,Negative W2,1036
missing,-2.522727273,1.320476242,Negative W1,1037
missing teeth,-2.790697674,1.372487133,Negative phrase,1037
teeth,0.651162791,1.15230041,Negative W2,1037
face,1.111111111,1.626795822,Negative W2,1038
spotty face,-1.840909091,1.328457434,Negative phrase,1038
spotty,-1.23255814,1.087531265,Negative W1,1038
computer.2,1.727272727,1.824024052,Neutral phrase W1,1039
bug,-1.11627907,1.400838224,Negative W2,1039
computer bug,-2.731707317,1.342095195,Negative phrase,1039
nap,2.113636364,1.602554779,Negative W2,1040
kidnap,-4.302325581,1.14506984,Negative phrase,1040
kid,1.853658537,1.956540002,Negative W1,1040
knife,-1.204545455,1.211947221,Negative W1,1041
attack,-3.348837209,1.494174735,Negative W2,1041
knife attack,-4.11627907,1.257535426,Negative phrase,1041
bite,-1.777777778,1.396243156,Negative W2,1042
frost,-0.813953488,1.200313728,Negative W1,1042
frost bite,-3.534883721,1.241136906,Negative phrase,1042
head.2,0.770114943,1.633238682,Negative W2,1043
black,-0.297619048,1.412336029,Negative W1,1043
black head,-1.952380952,1.267845896,Negative phrase,1043
pole,0.181818182,0.691231704,Negative W1,1044
dance,2.744186047,1.590043774,Negative W2,1044
pole dance,0.285714286,2.381695587,Negative phrase,1044
car.2,1.078651685,1.553769018,Negative W2,1045
upside-down car,-2.840909091,1.328457434,Negative phrase,1045
upside-down,-1.11627907,1.348884942,Negative W1,1045
dentist,-0.977777778,2.179333602,Negative W1,1046
dentist drill,-2.545454545,1.501232756,Negative phrase,1046
drill,-0.093023256,1.108709105,Negative W2,1046
box.2,0.244186047,0.81075196,Neutral phrase W2,1047
cardboard,0.155555556,1.04349839,Neutral phrase W1,1047
cardboard box,0.090909091,1.157748051,Neutral phrase,1047
chair,0.477272727,1.04522472,Negative W2,1048
electric,0.76744186,1.231282902,Negative W1,1048
electric chair,-3.813953488,2.270471044,Negative phrase,1048
facial hair,-0.136363636,1.746636756,Negative phrase,1049
hair,0.953488372,1.271547396,Negative W2,1049
facial,0.780487805,1.235155762,Negative W1,1049
trafficking,-3.244444444,1.760107894,Negative W2,1050
human,1.651162791,1.913407842,Negative W1,1050
human trafficking,-4.658536585,0.794032622,Negative phrase,1050
traffic,-2.088888889,1.311179591,Neutral phrase W1,1051
traffic light,0.363636364,1.511058602,Neutral phrase,1051
light,2.292682927,1.661985295,Neutral phrase W2,1051
