,Unnamed: 0,Condition,Contrast,List,MeanAffectivity,SubjNo,Unnamed: 16,Unnamed: 17,correct response,date,experiment_name,frameRate,given response,match?,participant,perceptual rating,prime,prime_semantics,rt,session,PairID
75,75,Sklar_Hebrew_neutral,50,1,-0.3,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,שמשה קדמית,Hebrew,4.18746495247,1,
76,76,New,50,1,2.681818182,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,The bunny outwitted the hunter,Neutral sentence,3.24630498886,1,22
77,77,Sklar_Hebrew_negative,80,1,-3.85,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,2,נרדם בנהיגה,Hebrew,1.10583305359,1,
78,78,New,50,1,-4.048780488,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,The poacher caught the elephant,Negative sentence,2.37614202499,1,8
79,79,New,50,1,-4.363636364,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,Dad slapped the toddler,Negative sentence,1.8939690589900002,1,5
80,80,Sklar,50,1,0.522727273,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,3,apartment building,Neutral phrase,1.93386411667,1,1001
81,81,Sklar_Hebrew_negative,50,1,-3.45,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,ריח מהפה,Hebrew,1.52952384949,1,
82,82,Sklar_Hebrew_neutral,50,1,1.9,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,חולצה מגוהצת,Hebrew,0.964783906937,1,
83,83,Sklar,50,1,-3.5111111110000004,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,root canal,Negative phrase,0.729788064957,1,1024
84,84,Sklar_Hebrew_neutral,80,1,0.1,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,פסי האטה,Hebrew,1.5292069912000001,1,
85,85,Sklar_Hebrew_negative,80,1,-2.55,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,שטיפת קיבה,Hebrew,1.03116893768,1,
86,86,Sklar_Hebrew_negative,50,1,-4.1,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,סחר בנשים,Hebrew,1.08707094193,1,
87,87,Sklar,50,1,0.181818182,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,carpark,Neutral phrase,0.847339868546,1,1008
88,88,Sklar_Hebrew_negative,50,1,-4.35,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,מחנה ריכוז,Hebrew,1.6115629672999998,1,
