,Unnamed: 0,Unnamed: 0.1,Condition,Contrast,List,MeanAffectivity,SubjNo,Unnamed: 16,Unnamed: 17,correct response,date,experiment_name,frameRate,given response,match?,participant,perceptual rating,prime,prime_semantics,rt,session,PairID,string_length
32,32,32,Sklar,50,1,-3.488372093,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,foot fungus,Negative phrase,4.1875460147900005,1,1029.0,11
33,33,33,Sklar,50,1,0.214285714,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,cogwheel,Neutral phrase,0.964682102203,1,1003.0,8
34,34,34,New,50,1,-0.06818181799999999,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,The child spun the washer,Neutral sentence,1.84318590164,1,27.0,25
35,35,35,New,50,1,-3.536585366,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,3,The washer spun the child,Negative sentence,0.906164884567,1,27.0,25
36,36,36,Sklar_Hebrew_negative,50,1,-2.55,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,2,שטיפת קיבה,Hebrew,0.9293308258059999,1,,10
37,37,37,Sklar_Hebrew_negative,80,1,-3.85,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,מצב צמח,Hebrew,1.05881500244,1,,7
38,38,38,Sklar_Hebrew_neutral,50,1,0.2,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,מגרש חנייה,Hebrew,3.36408686638,1,,10
39,39,39,Sklar,50,1,1.6976744190000002,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,3,body wash,Neutral phrase,1.08244895935,1,1014.0,9
40,40,40,New,50,1,0.41463414600000004,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,3,Baby chased the dog,Neutral sentence,0.8239700794220001,1,7.0,19
41,41,41,Sklar,50,1,-3.4651162789999996,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,3,vegetative state,Negative phrase,1.04739093781,1,1028.0,16
42,42,42,Sklar_Hebrew_negative,80,1,-1.74,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,פיק ברכיים,Hebrew,1.47043085098,1,,10
43,43,43,Sklar_Hebrew_negative,50,1,-2.0,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,0,בן-כלבה,Hebrew,6.116392135619999,1,,7
44,44,44,Sklar_Hebrew_neutral,80,1,0.85,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,דף שורות,Hebrew,3.8394160270699995,1,,8
45,45,45,New,50,1,1.404761905,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,The people ate the fish,Neutral sentence,1.14104700089,1,25.0,23
46,46,46,Sklar,50,1,-0.13636363599999998,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,3,facial hair,Negative phrase,1.50599002838,1,1049.0,11
47,47,47,Sklar_Hebrew_negative,50,1,-3.54,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,מנת יתר,Hebrew,2.96422195435,1,,7
48,48,48,New,50,1,-4.627906977,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,The car dragged Claire,Negative sentence,4.16872000694,1,12.0,22
49,49,49,Sklar_Hebrew_negative,50,1,-2.15,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,תשעה באב,Hebrew,0.894511938095,1,,8
50,50,50,Sklar_Hebrew_negative,80,1,-2.68,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,3,טיפול שורש,Hebrew,0.8311419487,1,,10
51,51,51,New,50,1,-1.414634146,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,3,Claire dragged the car,Neutral sentence,0.9528620243070001,1,12.0,22
52,52,52,Sklar_Hebrew_neutral,80,1,0.35,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,מנחת מסוקים,Hebrew,1.19608998299,1,,11
53,53,53,Sklar_Hebrew_neutral,50,1,0.35,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,שרפרף מעץ,Hebrew,0.8592081069949999,1,,9
54,54,54,Sklar_Hebrew_neutral,50,1,0.85,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,תיק גב,Hebrew,0.851706981659,1,,6
55,55,55,New,50,1,-2.833333333,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,The dog chased baby,Negative sentence,2.5719959735900004,1,7.0,19
56,56,56,New,50,1,-1.1590909090000001,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,1,The kitten chewed the lawnmower,Neutral sentence,1.97620081902,1,15.0,31
57,57,57,Sklar_Hebrew_negative,80,1,-4.15,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,2,יתד בעין,Hebrew,1.6469688415500001,1,,8
58,58,58,New,50,1,-0.955555556,10,,,up,2016_Jan_14_1311,CFS popping time,85.02817849350001,up,1,,2,Bobby ate the boar,Neutral sentence,3.4158089160900005,1,3.0,18
59,59,59,Sklar_Hebrew_negative,80,1,-2.7,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,לקפוץ מהגג,Hebrew,1.04721689224,1,,10
60,60,60,Sklar,50,1,0.292682927,10,,,down,2016_Jan_14_1311,CFS popping time,85.02817849350001,down,1,,1,wooden stool,Neutral phrase,5.89251685143,1,1017.0,12
